"id_usuario","nombre_platillo","presentacion_platillo","tamaño_platillo","precio_platillo","categoria","cantidad","fecha_venta"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-09-03 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2024-02-06 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-02-14 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-04-25 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-01-09 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-03-21 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-03-21 09:13:33"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2023-07-28 09:13:33"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-07-28 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-02-05 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-06-16 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2023-11-19 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-06-13 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-03-30 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-01-31 09:13:33"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2024-05-31 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-05-14 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-04-23 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-06-22 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-11-10 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-11-12 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-10-30 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-10-30 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-07-08 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2023-09-10 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-08-22 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-03-06 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-02-19 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-07-19 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-05-10 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-08-18 09:13:33"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-05-29 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-07-23 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-01-19 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-03-06 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2023-09-02 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-03-26 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-02-12 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-11-15 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-09-29 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-04-27 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-11-06 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2023-09-15 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-05-12 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-02-05 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-05-08 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-12-24 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-07-11 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-11-02 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-09-07 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2023-11-12 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-04-18 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-11-22 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-08-03 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-10-13 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-04-06 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-08-10 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-04-13 09:13:33"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-11-02 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-09-24 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-12-20 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-06-16 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-07-21 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-07-21 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-10-01 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-02-22 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-05-06 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-05-09 09:13:33"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-09-29 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-09-05 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-12-27 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-07-27 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2023-11-26 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-08-05 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-10-30 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2023-10-30 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2023-09-08 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-02-07 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-12-14 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-08-22 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2024-05-04 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-06-20 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-06-21 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-06-08 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-06-22 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-03-17 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-09-29 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-03-29 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-07-20 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-09-07 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-05-23 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2023-10-04 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2024-07-14 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-08-06 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-12-13 09:13:33"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-01-26 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-12-08 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-07-08 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2023-09-14 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2023-10-29 09:13:33"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-06-25 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-06-20 09:13:33"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2024-06-01 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-04-02 09:13:33"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-11-23 09:13:33"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-01-15 09:13:33"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-04-10 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-10-19 09:13:33"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-08-01 09:13:33"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-01-06 09:13:33"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2024-05-21 09:13:33"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2023-12-10 09:13:33"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2023-12-23 09:13:34"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-05-27 09:13:34"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-07-15 09:13:34"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2024-05-09 09:13:34"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-01-21 09:13:34"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-10-22 09:13:34"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-08-07 09:13:34"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-10-10 09:13:34"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-10-10 09:13:34"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-06-03 09:13:34"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-05-03 09:13:34"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2024-05-10 09:13:34"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","1","2023-07-27 09:13:34"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-01-02 09:13:34"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-07-31 09:13:34"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-12-17 09:13:34"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2023-12-03 09:13:34"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2023-12-25 09:13:34"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-06-30 09:13:34"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2024-07-01 09:13:34"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-05-25 09:13:34"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-10-10 09:13:34"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2023-08-29 09:13:34"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-04-09 09:13:34"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2024-01-10 09:13:34"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-01-10 09:13:34"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-01-28 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-04-13 09:13:34"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-02-27 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","3","2023-09-21 09:13:34"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-04-17 09:13:34"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-12-15 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2023-11-01 09:13:34"
"mZvDqt0BFLRaGAQsgJpq9v0oqIW2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-11-07 09:13:34"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","6","2024-01-11 09:13:34"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-02-18 09:13:34"
"yVnqVT1tphNdVeX1KtAXZiiD54n1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-06-25 09:13:34"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2024-03-12 09:13:34"
"Sw4KWBZ0V3bUWSxLAGu6rwOxOPO2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-06-14 09:13:34"
"esbjKHM1PbYx355iX21SzMd3DQE2","Camarones mariposa","Unica","ninguno","219.00","Camarones","10","2024-01-11 09:13:34"
"ZcQ2J0IPWLYmXIZ2b4YZAhGqDth2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-01-18 09:13:34"
"mdy15mzNcedWyISNGn8jGaPSELZ2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-02-19 09:13:34"
"yhyg4yML4wPahF8XN5CQCTBErbl1","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2024-02-28 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2023-07-29 09:13:34"
"whMfSrATLkNVyWZCG8UrnMeD3eG2","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2024-03-27 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-03-08 09:13:34"
"pW8R5fMO0yQq6xtPcGwdJzhQPOn2","Camarones mariposa","Unica","ninguno","219.00","Camarones","2","2023-08-29 09:13:34"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","8","2024-05-02 09:13:34"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","4","2024-04-28 09:13:34"
"oexNbbwZZEfwr1lj9aU1WeG7JwT2","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2023-08-29 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","7","2023-12-16 09:13:34"
"XVs3kZQEZxQkpJ8FJqWlV47RaIE3","Camarones mariposa","Unica","ninguno","219.00","Camarones","9","2024-03-20 09:13:34"
"QRc0CHr3rrQuBgGPvijPxGU2qfy1","Camarones mariposa","Unica","ninguno","219.00","Camarones","5","2024-07-09 09:13:34"
